Simulation,Predicted Price,Average Return,Log Return,Simple Return
233,145.685,0.0109348,0.0405437,0.0413769
234,145.444,0.0109348,0.0405437,0.0413769
235,148.496,0.0109348,0.0405437,0.0413769
236,145.333,0.0109348,0.0405437,0.0413769
237,148.204,0.0109348,0.0405437,0.0413769
238,147.936,0.0109348,0.0405437,0.0413769
239,145.89,0.0109348,0.0405437,0.0413769
240,145.972,0.0109348,0.0405437,0.0413769
241,146.501,0.0109348,0.0405437,0.0413769
242,148.335,0.0109348,0.0405437,0.0413769
243,147.309,0.0109348,0.0405437,0.0413769
244,147.263,0.0109348,0.0405437,0.0413769
245,146.836,0.0109348,0.0405437,0.0413769
246,147.782,0.0109348,0.0405437,0.0413769
247,146.092,0.0109348,0.0405437,0.0413769
248,147.547,0.0109348,0.0405437,0.0413769
249,145.983,0.0109348,0.0405437,0.0413769
250,147.823,0.0109348,0.0405437,0.0413769
251,145.6,0.0109348,0.0405437,0.0413769
252,147.994,0.0109348,0.0405437,0.0413769
253,148.377,0.0109348,0.0405437,0.0413769
254,145.968,0.0109348,0.0405437,0.0413769
255,148.464,0.0109348,0.0405437,0.0413769
256,146.133,0.0109348,0.0405437,0.0413769
257,148.205,0.0109348,0.0405437,0.0413769
258,146.743,0.0109348,0.0405437,0.0413769
259,145.621,0.0109348,0.0405437,0.0413769
260,146.592,0.0109348,0.0405437,0.0413769
261,147.481,0.0109348,0.0405437,0.0413769
262,147.118,0.0109348,0.0405437,0.0413769
263,146.522,0.0109348,0.0405437,0.0413769
264,147.923,0.0109348,0.0405437,0.0413769
265,147.316,0.0109348,0.0405437,0.0413769
266,146.3,0.0109348,0.0405437,0.0413769
267,148.008,0.0109348,0.0405437,0.0413769
268,146.803,0.0109348,0.0405437,0.0413769
269,145.527,0.0109348,0.0405437,0.0413769
270,148.66,0.0109348,0.0405437,0.0413769
271,147.534,0.0109348,0.0405437,0.0413769
272,146.78,0.0109348,0.0405437,0.0413769
273,148.274,0.0109348,0.0405437,0.0413769
274,146.132,0.0109348,0.0405437,0.0413769
275,145.341,0.0109348,0.0405437,0.0413769
276,146.395,0.0109348,0.0405437,0.0413769
277,148.68,0.0109348,0.0405437,0.0413769
278,146.184,0.0109348,0.0405437,0.0413769
279,148.71,0.0109348,0.0405437,0.0413769
280,145.943,0.0109348,0.0405437,0.0413769
281,145.301,0.0109348,0.0405437,0.0413769
282,145.589,0.0109348,0.0405437,0.0413769
283,148.701,0.0109348,0.0405437,0.0413769
284,148.43,0.0109348,0.0405437,0.0413769
285,146.309,0.0109348,0.0405437,0.0413769
286,148.443,0.0109348,0.0405437,0.0413769
287,145.847,0.0109348,0.0405437,0.0413769
288,145.801,0.0109348,0.0405437,0.0413769
289,146.468,0.0109348,0.0405437,0.0413769
290,146.219,0.0109348,0.0405437,0.0413769
291,147.149,0.0109348,0.0405437,0.0413769
292,148.718,0.0109348,0.0405437,0.0413769
293,148.101,0.0109348,0.0405437,0.0413769
294,148.437,0.0109348,0.0405437,0.0413769
295,147.919,0.0109348,0.0405437,0.0413769
296,146.701,0.0109348,0.0405437,0.0413769
297,146.02,0.0109348,0.0405437,0.0413769
298,147.21,0.0109348,0.0405437,0.0413769
299,148.27,0.0109348,0.0405437,0.0413769
300,146.299,0.0109348,0.0405437,0.0413769
301,147.149,0.0109348,0.0405437,0.0413769
302,147.086,0.0109348,0.0405437,0.0413769
303,147.841,0.0109348,0.0405437,0.0413769
304,146.707,0.0109348,0.0405437,0.0413769
305,147.98,0.0109348,0.0405437,0.0413769
306,147.934,0.0109348,0.0405437,0.0413769
307,147.863,0.0109348,0.0405437,0.0413769
308,147.939,0.0109348,0.0405437,0.0413769
309,145.411,0.0109348,0.0405437,0.0413769
310,147.853,0.0109348,0.0405437,0.0413769
311,148.645,0.0109348,0.0405437,0.0413769
312,145.462,0.0109348,0.0405437,0.0413769
313,148.198,0.0109348,0.0405437,0.0413769
314,148.624,0.0109348,0.0405437,0.0413769
315,148.648,0.0109348,0.0405437,0.0413769
