Simulation,Predicted Price,Average Return,Log Return,Simple Return
235,133.58,-0.0136078,-0.0396744,-0.0388976
236,133.754,-0.0136078,-0.0396744,-0.0388976
237,132.496,-0.0136078,-0.0396744,-0.0388976
238,132.305,-0.0136078,-0.0396744,-0.0388976
239,132.242,-0.0136078,-0.0396744,-0.0388976
240,132.837,-0.0136078,-0.0396744,-0.0388976
241,133.444,-0.0136078,-0.0396744,-0.0388976
242,133.308,-0.0136078,-0.0396744,-0.0388976
243,133.269,-0.0136078,-0.0396744,-0.0388976
244,133.523,-0.0136078,-0.0396744,-0.0388976
245,133.161,-0.0136078,-0.0396744,-0.0388976
246,133.679,-0.0136078,-0.0396744,-0.0388976
247,133.024,-0.0136078,-0.0396744,-0.0388976
248,133.871,-0.0136078,-0.0396744,-0.0388976
249,132.311,-0.0136078,-0.0396744,-0.0388976
250,132.725,-0.0136078,-0.0396744,-0.0388976
251,132.751,-0.0136078,-0.0396744,-0.0388976
252,132.55,-0.0136078,-0.0396744,-0.0388976
253,133.638,-0.0136078,-0.0396744,-0.0388976
254,134.088,-0.0136078,-0.0396744,-0.0388976
255,132.492,-0.0136078,-0.0396744,-0.0388976
256,133.213,-0.0136078,-0.0396744,-0.0388976
257,133.255,-0.0136078,-0.0396744,-0.0388976
258,133.606,-0.0136078,-0.0396744,-0.0388976
259,134.122,-0.0136078,-0.0396744,-0.0388976
260,132.154,-0.0136078,-0.0396744,-0.0388976
261,133.02,-0.0136078,-0.0396744,-0.0388976
262,132.947,-0.0136078,-0.0396744,-0.0388976
263,132.94,-0.0136078,-0.0396744,-0.0388976
264,133.423,-0.0136078,-0.0396744,-0.0388976
265,134.027,-0.0136078,-0.0396744,-0.0388976
266,132.293,-0.0136078,-0.0396744,-0.0388976
267,132.946,-0.0136078,-0.0396744,-0.0388976
268,132.291,-0.0136078,-0.0396744,-0.0388976
269,132.505,-0.0136078,-0.0396744,-0.0388976
270,133.096,-0.0136078,-0.0396744,-0.0388976
